id;ano;feriado;mes;data_inversa;uf;br;km;municipio;causa_acidente;classificacao_acidente;veiculos;condicao_metereologica;fase_dia;dia_semana;tipo_acidente;tipo_pista;mortos;feridos_graves;latitude;longitude;status;regiao;periodo;palavras_filtradas;lemma;normalizado;Topic;Top Terms;Categoria
576139;2024.0;n;1.0;2024-01-21;PA;230;70;SAO DOMINGOS DO ARAGUAIA;Manobra de mudança de faixa;Com Vítimas Fatais;2;Nublado;Plena Noite;domingo;Colisão frontal;Simples;1;0;-5.5079345;-48.71546613;Perigosa;Norte;1 Trimestre;manobra mudança faixa;manobra mudança faixa;manobra mudança faixa;1;cruzamento, preferência, desrespeitar, trafegar, similar, motocicleta, freio, mudança, manobra, faixa;Infração de Trânsito
604442;2024.0;n;6.0;2024-06-01;MA;222;207;ITAPECURU MIRIM;Acessar a via sem observar a presença dos outros veículos;Com Vítimas Fatais;5;Céu Claro;Pleno dia;sábado;Colisão lateral mesmo sentido;Simples;1;0;-3.39827306;-44.35676617;Perigosa;Nordeste;2 Trimestre;acessar via observar presença outros veículos;acessar via observar presença outros veículos;acessar via observar presença outro veículo;3;presença, acessar, outro, observar, mecânica, elétrica, via, demai, falha, veículo;Problema mecânico no veículo
611965;2024.0;n;7.0;2024-07-04;TO;153;761;ALVORADA;Reação tardia ou ineficiente do condutor;Com Vítimas Feridas;1;Céu Claro;Pleno dia;quinta-feira;Tombamento;Dupla;0;0;-12.48124904;-49.11773068;Segura;Norte;3 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
581987;2024.0;n;2.0;2024-02-19;PE;101;25;IGARASSU;Reação tardia ou ineficiente do condutor;Com Vítimas Feridas;3;Céu Claro;Pleno dia;segunda-feira;Engavetamento;Dupla;0;0;-7.7009082;-34.9229207;Segura;Nordeste;1 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
660608;2025.0;n;2.0;2025-02-10;GO;153;135;MARA ROSA;Reação tardia ou ineficiente do condutor;Sem Vítimas;1;Céu Claro;Plena Noite;segunda-feira;Saída de leito carroçável;Simples;0;0;-13,949925;-49,08493;Segura;Centro-Oeste;1 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
614413;2024.0;n;7.0;2024-07-14;MS;158;347;BRASILANDIA;Ausência de reação do condutor;Com Vítimas Feridas;2;Céu Claro;Pleno dia;domingo;Colisão traseira;Simples;0;0;-21.25742369;-51.97700299;Segura;Centro-Oeste;3 Trimestre;ausência reação condutor;ausência reação condutor;ausência reação condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
593347;2024.0;n;4.0;2024-04-11;SC;101;309,9;LAGUNA;Manobra de mudança de faixa;Com Vítimas Feridas;3;Chuva;Plena Noite;quinta-feira;Colisão lateral mesmo sentido;Dupla;0;0;-28.40755485;-48.79169438;Segura;Sul;2 Trimestre;manobra mudança faixa;manobra mudança faixa;manobra mudança faixa;1;cruzamento, preferência, desrespeitar, trafegar, similar, motocicleta, freio, mudança, manobra, faixa;Infração de Trânsito
593712;2024.0;n;4.0;2024-04-13;TO;153;686;CARIRI DO TOCANTINS;Frear bruscamente;Com Vítimas Feridas;2;Céu Claro;Pleno dia;sábado;Tombamento;Simples;0;0;-11.83845805;-49.1410439;Segura;Norte;2 Trimestre;frear bruscamente;frear bruscamente;frear bruscament;3;presença, acessar, outro, observar, mecânica, elétrica, via, demai, falha, veículo;Problema mecânico no veículo
668960;2025.0;n;3.0;2025-03-23;DF;20;17;BRASILIA;Reação tardia ou ineficiente do condutor;Com Vítimas Feridas;3;Garoa/Chuvisco;Plena Noite;domingo;Colisão traseira;Dupla;0;1;-15,61883;-47,712315;Perigosa;Centro-Oeste;1 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
670264;2025.0;n;3.0;2025-03-29;RJ;116;194;QUEIMADOS;Ausência de reação do condutor;Com Vítimas Feridas;2;Céu Claro;Pleno dia;sábado;Colisão traseira;Dupla;0;1;-22,73577559;-43,55064154;Perigosa;Sudeste;1 Trimestre;ausência reação condutor;ausência reação condutor;ausência reação condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
621469;2024.0;n;8.0;2024-08-15;PR;116;3,2;CAMPINA GRANDE DO SUL;Reação tardia ou ineficiente do condutor;Com Vítimas Feridas;2;Céu Claro;Plena Noite;quinta-feira;Colisão com objeto;Dupla;0;0;-25.07163889;-48.58564619;Segura;Sul;3 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
619856;2024.0;n;8.0;2024-08-08;CE;116;56;PACAJUS;Demais falhas mecânicas ou elétricas;Com Vítimas Feridas;1;Céu Claro;Pleno dia;quinta-feira;Capotamento;Simples;0;1;-4.21228207;-38.47322379;Perigosa;Nordeste;3 Trimestre;demais falhas mecânicas elétricas;demais falhas mecânicas elétricas;demai falha mecânica elétrica;3;presença, acessar, outro, observar, mecânica, elétrica, via, demai, falha, veículo;Problema mecânico no veículo
601625;2024.0;n;5.0;2024-05-19;SP;459;31,7;LORENA;Transitar na contramão;Com Vítimas Feridas;3;Nublado;Pleno dia;domingo;Colisão frontal;Simples;0;0;-22.732813;-45.098679;Segura;Sudeste;2 Trimestre;transitar contramão;transitar contramão;transitar contramão;4;pneu, desgast, avaria, excessivo, animai, andava, acostamento, pista, contramão, transitar;Manobra imprudente condutor
